Tipo,Titolo,Url,Nascita,Morte
persona,Fausto Amodei,https://it.wikipedia.org/wiki/Fausto_Amodei,1934,2025
persona,Pietro Gori,https://it.wikipedia.org/wiki/Pietro_Gori,1865,1911
persona,Paolo Pietrangeli,https://it.wikipedia.org/wiki/Paolo_Pietrangeli,1945,2021
persona,Ivan Della Mea,https://it.wikipedia.org/wiki/Ivan_Della_Mea,1940,2009
gruppo,Movimento Femminista Romano,,,
gruppo,Inti Illimani,https://it.wikipedia.org/wiki/Inti-Illimani,,
persona,Italo Calvino,https://it.wikipedia.org/wiki/Italo_Calvino,1923,1985
gruppo,Canzoniere femminista,,,
persona,Alberto D'Amico,https://it.wikipedia.org/wiki/Alberto_D%27Amico,1943,2020
gruppo,Canzoniere Popolare del Veneto,https://it.wikipedia.org/wiki/Canzoniere_Popolare_del_Veneto,,
gruppo,Cantacronache,https://it.wikipedia.org/wiki/Cantacronache,,
persona,Giovanna Marini,https://it.wikipedia.org/wiki/Giovanna_Marini,1937,2024
persona,Gianfranco Manfredi,https://it.wikipedia.org/wiki/Gianfranco_Manfredi,1948,
persona,Trilussa,https://it.wikipedia.org/wiki/Trilussa,1871,1950
gruppo,Stormy Six,https://it.wikipedia.org/wiki/Stormy_Six,,
persona,Felice Cascione,https://it.wikipedia.org/wiki/Felice_Cascione,1918,1944
persona,Gualtiero Bertelli,https://it.wikipedia.org/wiki/Gualtiero_Bertelli,1944,
gruppo,Canzoniere delle Lame,https://it.wikipedia.org/wiki/Canzoniere_delle_Lame,,
gruppo,Canzoniere Pisano / del Proletariato,https://it.wikipedia.org/wiki/Canzoniere_Pisano,,
persona,Matteo Salvatore,https://it.wikipedia.org/wiki/Matteo_Salvatore,1925,2005
persona,Franco Madau,https://it.wikipedia.org/wiki/Franco_Madau,1936,2006
persona,Otello Profazio,https://it.wikipedia.org/wiki/Otello_Profazio,1934,2023
persona,Alfredo Bandelli,https://it.wikipedia.org/wiki/Alfredo_Bandelli,1945,1994
persona,Enzo Del Re,https://it.wikipedia.org/wiki/Enzo_Del_Re,1944,2011
persona,Franco Trincale,https://it.wikipedia.org/wiki/Franco_Trincale,1935,
persona,Raffaele Mario Offidani,https://it.wikipedia.org/wiki/Raffaele_Mario_Offidani,1896,1968
persona,Filippo Turati,https://it.wikipedia.org/wiki/Filippo_Turati,1857,1932
persona,Pierangelo Bertoli,https://it.wikipedia.org/wiki/Pierangelo_Bertoli,1942,2002
persona,Dario Fo,https://it.wikipedia.org/wiki/Dario_Fo,1926,2016
gruppo,The Gang,https://it.wikipedia.org/wiki/Gang_(gruppo_musicale_italiano),,
persona,Armando Trovajoli,https://it.wikipedia.org/wiki/Armando_Trovajoli,1917,2013
persona,Claudio Lolli,https://it.wikipedia.org/wiki/Claudio_Lolli,1950,2018
persona,Sergio Liberovici,https://it.wikipedia.org/wiki/Sergio_Liberovici,1930,1991
persona,Carlos Puebla,https://it.wikipedia.org/wiki/Carlos_Puebla,1917,1989
persona,Nuto Revelli,https://it.wikipedia.org/wiki/Nuto_Revelli,1919,2004
gruppo,Canzoniere Pisano,https://it.wikipedia.org/wiki/Canzoniere_Pisano,,
persona,Alessio Lega,https://it.wikipedia.org/wiki/Alessio_Lega,1972,
persona,Pino Masi,https://it.wikipedia.org/wiki/Pino_Masi,1946,
persona,Nanni Svampa,https://it.wikipedia.org/wiki/Nanni_Svampa,1938,2017
persona,Bertold Brecht,https://it.wikipedia.org/wiki/Bertolt_Brecht,1898,1956
persona,Joan Baez,https://it.wikipedia.org/wiki/Joan_Baez,1941,
persona,Giorgio Strehler,https://it.wikipedia.org/wiki/Giorgio_Strehler,1921,1997
gruppo,Yu Kung,https://it.wikipedia.org/wiki/Yu_Kung,,
persona,Violeta Parra,https://it.wikipedia.org/wiki/Violeta_Parra,1917,1967
gruppo,Canzoniere Il Contemporaneo,,,
persona,Woody Guthrie,https://it.wikipedia.org/wiki/Woody_Guthrie,1912,1967
gruppo,Canzoniere del Lazio,https://it.wikipedia.org/wiki/Canzoniere_del_Lazio,,
persona,Gianni Nebbiosi,https://it.wikipedia.org/wiki/Gianni_Nebbiosi,1946,
persona,Franco Fortini,https://it.wikipedia.org/wiki/Franco_Fortini,1917,1994
gruppo,Compagni di Scena,,,
persona,"Francesco ""Ciccio"" Giuffrida",https://it.wikipedia.org/wiki/Ciccio_Giuffrida,1944,
